,자치구별,계약연도,계약월,전용면적(㎡),거래금액(만원),1m^2 전용면적당 거래금액(만원)
579,강남구,2020,10,113.231,255000,2252
580,강남구,2020,11,113.087,267000,2361
581,강남구,2020,6,74.758,96800,1294
582,강남구,2020,6,74.758,95000,1270
583,강남구,2020,6,74.758,87000,1163
584,강남구,2020,10,93.31,89900,963
585,강남구,2020,3,68.86,58000,842
586,강남구,2020,10,81.61,102000,1249
587,강남구,2020,10,81.61,102000,1249
588,강남구,2020,1,75.12,80000,1064
589,강남구,2020,8,80.31,95000,1182
590,강남구,2020,12,80.4,92500,1150
591,강남구,2020,11,73.17,88500,1209
592,강남구,2020,1,85.12,110000,1292
593,강남구,2020,7,85.12,115000,1351
594,강남구,2020,10,85.12,117000,1374
595,강남구,2020,7,80.21,90000,1122
596,강남구,2020,11,129.6,113000,871
597,강남구,2020,1,16.2,21200,1308
598,강남구,2020,2,16.2,21500,1327
599,강남구,2020,2,16.2,22000,1358
600,강남구,2020,2,16.2,21000,1296
601,강남구,2020,2,16.2,22000,1358
602,강남구,2020,6,16.2,21800,1345
603,강남구,2020,10,16.2,21600,1333
604,강남구,2020,6,84.94,130000,1530
605,강남구,2020,6,84.94,131000,1542
606,강남구,2020,7,103.96,149000,1433
607,강남구,2020,8,103.96,155000,1490
608,강남구,2020,11,84.94,144000,1695
609,강남구,2020,12,84.94,144000,1695
610,강남구,2020,5,83.7,104500,1248
611,강남구,2020,6,83.7,117000,1397
612,강남구,2020,9,83.7,132000,1577
613,강남구,2020,11,163.2,180000,1102
614,강남구,2020,12,142.88,156000,1091
615,강남구,2020,2,139.46,119750,858
616,강남구,2020,3,125.73,60000,477
617,강남구,2020,4,127.61,295000,2311
618,강남구,2020,5,84.81,240000,2829
619,강남구,2020,6,127.61,322000,2523
620,강남구,2020,6,84.81,258000,3042
621,강남구,2020,6,84.81,254000,2994
622,강남구,2020,6,127.61,334000,2617
623,강남구,2020,6,127.61,334000,2617
624,강남구,2020,9,127.61,340000,2664
625,강남구,2020,12,127.61,341000,2672
626,강남구,2020,12,127.61,315000,2468
627,강남구,2020,2,84.69,247500,2922
628,강남구,2020,3,127.78,295000,2308
629,강남구,2020,3,127.78,340000,2660
630,강남구,2020,3,127.78,305000,2386
631,강남구,2020,5,84.69,230000,2715
632,강남구,2020,5,127.78,280000,2191
633,강남구,2020,6,127.78,335000,2621
634,강남구,2020,6,159.6,379000,2374
635,강남구,2020,6,127.78,325000,2543
636,강남구,2020,6,127.78,350000,2739
637,강남구,2020,6,127.78,357000,2793
638,강남구,2020,12,127.78,335000,2621
639,강남구,2020,2,35.236,36000,1021
640,강남구,2020,3,36.566,35000,957
641,강남구,2020,4,35.236,37000,1050
642,강남구,2020,6,35.796,36500,1019
643,강남구,2020,6,35.236,36700,1041
644,강남구,2020,7,25.513,25000,979
645,강남구,2020,9,35.796,36000,1005
646,강남구,2020,12,35.236,34000,964
647,강남구,2020,3,33.06,33500,1013
648,강남구,2020,3,33.06,33500,1013
649,강남구,2020,4,34.2,32500,950
650,강남구,2020,6,33.06,32500,983
651,강남구,2020,6,33.06,30300,916
