,NODE_ID,NODE_NM,NODE_TP,CENTER_YN,ADMIN_NM,REMARK,NODE_CL,NODE_SUB_TP,NODE_ENM,위도,경도,CITY_CD,DISTRICT_ID,COLLECTD_TIME,ORG_ID,ADMIN_ID,OFFSET,DIRECTION,DOWNTOWN_YN,NODE_MOBILE_ID,CITY_CODE,도시명,gu
200,SEB207000169,꽃동네입구,,,,,,,,37.7508231,127.0614914,,,2020-09-24 07:32:12,,,,,,0.0,11,서울특별시,의정부시
201,SEB207000183,세아아파트.거성아파트.벽산아파,,,,,,,,37.7557082,127.0739182,,,2020-09-24 07:32:12,,,,,,8227.0,11,서울특별시,의정부시
202,SEB222001491,구별내면사무소,,,,,,,,37.6668308,127.1199628,,,2020-09-24 07:32:12,,,,,,0.0,11,서울특별시,남양주시
203,SEB222001566,별내상업지구,,,,,,,,37.6454914,127.1258232,,,2020-09-24 07:32:12,,,,,,0.0,11,서울특별시,남양주시
204,SEB222001937,주을래마을,,,,,,,,37.6416756,127.1280894,,,2020-09-24 07:32:12,,,,,,42075.0,11,서울특별시,남양주시
205,SEB221000341,사노동.안말,,,,,,,,37.6312203,127.1383271,,,2020-09-24 07:32:12,,,,,,22272.0,11,서울특별시,구리시
206,SEB221000232,갈매1.2단지.이스트힐정문,,,,,,,,37.6349862,127.119737,,,2020-09-24 07:32:12,,,,,,22220.0,11,서울특별시,구리시
207,SEB221000330,한라비발디후문,,,,,,,,37.6376501,127.1209932,,,2020-09-24 07:32:12,,,,,,22261.0,11,서울특별시,구리시
208,SEB222001646,현대아이파크1차,,,,,,,,37.6627111,127.1191017,,,2020-09-24 07:32:12,,,,,,0.0,11,서울특별시,남양주시
209,SEB222001493,현대아이파크2차,,,,,,,,37.6645872,127.1186102,,,2020-09-24 07:32:12,,,,,,49458.0,11,서울특별시,남양주시
210,SEB207000545,민락2지구대우푸르지오아파트,,,,,,,,37.7516301,127.1121915,,,2020-09-24 07:32:12,,,,,,8544.0,11,서울특별시,의정부시
211,SEB207000593,e편한세상신곡포레스타뷰아파트,,,,,,,,37.7427648,127.0668391,,,2020-09-24 07:32:12,,,,,,8464.0,11,서울특별시,의정부시
212,SEB207000196,금오중학교,,,,,,,,37.7487235,127.0562884,,,2020-09-24 07:32:12,,,,,,0.0,11,서울특별시,의정부시
213,SEB110000644,상계4동,,,,,,,,37.6738791,127.0844987,,,2020-09-24 07:32:12,,,,,,11996.0,11,서울특별시,노원구
214,SEB222001110,순화궁입구,,,,,,,,37.6885224,127.1078788,,,2020-09-24 07:32:12,,,,,,0.0,11,서울특별시,남양주시
215,SEB222000595,수락산등산로입구,,,,,,,,37.6999454,127.1033848,,,2020-09-24 07:32:12,,,,,,0.0,11,서울특별시,남양주시
216,SEB222001676,수락산유원지,,,,,,,,37.7061977,127.1083146,,,2020-09-24 07:32:12,,,,,,0.0,11,서울특별시,남양주시
217,SEB222001454,숫돌고개,,,,,,,,37.7079464,127.1090152,,,2020-09-24 07:32:12,,,,,,0.0,11,서울특별시,남양주시
218,SEB225000047,산본역,,,,,,,,37.3578255,126.9336613,,,2020-09-24 07:32:12,,,,,,0.0,11,서울특별시,군포시
219,SEB225000051,주공2.3단지아파트입구,,,,,,,,37.3551224,126.933256,,,2020-09-24 07:32:12,,,,,,0.0,11,서울특별시,군포시
220,SEB225000097,금정농협앞,,,,,,,,37.3654534,126.9426201,,,2020-09-24 07:32:12,,,,,,0.0,11,서울특별시,군포시
