,정류소ID,ARS-ID,정류소명,X좌표,Y좌표,gu
252,100900177,1685,경복궁역,126.9724733,37.57707221,종로구
253,100900195,1686,연건동,127.000745,37.57612566,종로구
254,100900199,1697,성대입구,126.998853,37.5832668,종로구
255,100900114,1698,무애사,126.9718458,37.61390043,종로구
256,100900113,1699,단군성전앞,126.9653175,37.57556009,종로구
257,100900192,1702,동대문종합시장,127.00614,37.57117606,종로구
258,100900112,1714,상명초등학교,126.9567154,37.60092381,종로구
259,100900179,1720,법련사,126.9796651,37.57658798,종로구
260,100900111,1721,광화문새마을금고,126.9710277,37.57949309,종로구
261,100900110,1722,성균관대학교,126.9972179,37.58503111,종로구
262,100900109,1723,참샘골공원,126.9741212,37.61457226,종로구
263,100900108,1724,활터앞,126.9653294,37.57681261,종로구
264,100900107,1725,종로5가.3번출구,127.0020898,37.57141925,종로구
265,100900106,1727,인사동들머리.3.1독립선언터,126.983297,37.57194702,종로구
266,100900105,1728,정독도서관,126.9802007,37.58019153,종로구
267,100900104,1729,오거리.한옥마을입구,126.9697393,37.57946844,종로구
268,100900103,1732,평창공원지킴터입구,126.9757439,37.6163964,종로구
269,100000330,1763,종로1가,126.980129,37.57037,종로구
270,100900102,1776,종로도서관,126.9671252,37.57648423,종로구
271,100900101,1790,종로사우나,126.9877504,37.57380111,종로구
272,100900180,1791,엄마분식,126.9557163,37.60124243,종로구
273,100900100,1792,삼청파출소,126.9813258,37.58164517,종로구
274,100900099,1793,통인시장.종로구보건소,126.9687505,37.58033503,종로구
275,100900191,1794,종로5가역,127.0000249,37.57067136,종로구
276,100900098,1795,평창동산림제3초소,126.9770474,37.61723737,종로구
277,100900145,1796,배화여중고,126.9678157,37.57675563,종로구
278,100900143,1797,대학로입구.이화사거리,127.0025802,37.57598417,종로구
279,100900144,1798,운현궁,126.9869814,37.57527161,종로구
280,100900142,1799,상명대입구,126.9569583,37.60002101,종로구
281,100900141,1800,삼청동주민센터,126.9822105,37.58468468,종로구
282,100900140,1801,박노수미술관,126.9668945,37.58102656,종로구
283,100900139,1802,김창열.윤명로화실,126.9783685,37.616305,종로구
284,100900138,1803,사직동주민센터,126.9689039,37.57622069,종로구
285,100900137,1804,충신시장,127.0054049,37.57497665,종로구
286,100900189,1805,안국역2번출구앞,126.9861183,37.57717282,종로구
287,100900135,1807,금융연수원,126.9818479,37.58587767,종로구
288,100900134,1809,감람산기도원,126.979873,37.61594393,종로구
289,100900133,1810,카센터.터널앞,126.9658593,37.57416446,종로구
290,100900131,1812,재동초등학교,126.9853617,37.57879109,종로구
291,100900129,1814,삼청공원삼거리.옥호정터,126.9817445,37.58741852,종로구
292,100900128,1815,이화사거리,127.0022813,37.57532007,종로구
293,100900127,1816,연화정사,126.9794938,37.614649,종로구
294,100900126,1817,대신중고,126.9616893,37.57261781,종로구
295,100900125,1819,현대사거리,126.9866354,37.57924178,종로구
296,100900215,1820,교남동주민센터,126.96128,37.5721523,종로구
297,100900181,1821,부암동주민센터.무계원,126.9637682,37.59293534,종로구
298,100900124,1823,형제봉입구,126.9816862,37.61286432,종로구
299,100900123,1824,교남동새마을금고,126.9623375,37.57149436,종로구
300,100900122,1825,창신초교,127.0157201,37.57603721,종로구
