,계약연월,자치구별,CoffeeShop
760,2019-7,동대문구,408
761,2019-7,용산구,420
762,2019-7,중랑구,295
763,2019-7,강북구,219
764,2019-7,동작구,438
765,2019-7,은평구,367
766,2019-7,강서구,838
767,2019-7,강동구,470
768,2019-7,도봉구,249
769,2019-7,금천구,337
770,2019-7,양천구,391
771,2019-7,관악구,527
772,2019-7,노원구,472
773,2019-7,성동구,383
774,2019-7,광진구,443
775,2019-8,구로구,414
776,2019-8,서초구,967
777,2019-8,영등포구,843
778,2019-8,서대문구,524
779,2019-8,강남구,1793
780,2019-8,중구,1135
781,2019-8,송파구,476
782,2019-8,종로구,895
783,2019-8,마포구,851
784,2019-8,성북구,453
785,2019-8,동대문구,408
786,2019-8,용산구,420
787,2019-8,중랑구,295
788,2019-8,강북구,219
789,2019-8,동작구,438
790,2019-8,은평구,367
791,2019-8,강서구,838
792,2019-8,강동구,470
793,2019-8,도봉구,249
794,2019-8,금천구,337
795,2019-8,양천구,391
796,2019-8,관악구,527
797,2019-8,노원구,472
798,2019-8,성동구,383
799,2019-8,광진구,443
800,2019-9,구로구,414
801,2019-9,서초구,967
802,2019-9,영등포구,843
803,2019-9,서대문구,524
804,2019-9,강남구,1793
805,2019-9,중구,1135
806,2019-9,송파구,476
807,2019-9,종로구,895
808,2019-9,마포구,851
809,2019-9,성북구,453
810,2019-9,동대문구,408
811,2019-9,용산구,420
812,2019-9,중랑구,295
813,2019-9,강북구,219
814,2019-9,동작구,438
815,2019-9,은평구,367
816,2019-9,강서구,838
817,2019-9,강동구,470
818,2019-9,도봉구,249
819,2019-9,금천구,337
820,2019-9,양천구,391
821,2019-9,관악구,527
822,2019-9,노원구,472
823,2019-9,성동구,383
824,2019-9,광진구,443
825,2019-10,구로구,414
826,2019-10,서초구,970
827,2019-10,영등포구,835
828,2019-10,서대문구,524
829,2019-10,강남구,1801
830,2019-10,중구,1127
831,2019-10,송파구,458
832,2019-10,종로구,899
833,2019-10,마포구,867
834,2019-10,성북구,447
835,2019-10,동대문구,406
836,2019-10,용산구,420
837,2019-10,중랑구,294
838,2019-10,강북구,218
839,2019-10,동작구,441
840,2019-10,은평구,378
841,2019-10,강서구,843
842,2019-10,강동구,461
843,2019-10,도봉구,249
844,2019-10,금천구,339
845,2019-10,양천구,387
846,2019-10,관악구,523
847,2019-10,노원구,473
848,2019-10,성동구,368
849,2019-10,광진구,443
850,2019-11,구로구,412
851,2019-11,서초구,971
852,2019-11,영등포구,839
853,2019-11,서대문구,520
854,2019-11,강남구,1798
855,2019-11,중구,1134
856,2019-11,송파구,465
857,2019-11,종로구,899
858,2019-11,마포구,860
859,2019-11,성북구,452
860,2019-11,동대문구,411
861,2019-11,용산구,421
862,2019-11,중랑구,297
863,2019-11,강북구,222
864,2019-11,동작구,440
865,2019-11,은평구,372
866,2019-11,강서구,845
867,2019-11,강동구,468
868,2019-11,도봉구,247
869,2019-11,금천구,340
870,2019-11,양천구,393
871,2019-11,관악구,525
872,2019-11,노원구,477
873,2019-11,성동구,380
874,2019-11,광진구,443
875,2019-12,구로구,414
876,2019-12,서초구,974
877,2019-12,영등포구,844
878,2019-12,서대문구,525
879,2019-12,강남구,1794
880,2019-12,중구,1135
881,2019-12,송파구,476
882,2019-12,종로구,896
883,2019-12,마포구,851
884,2019-12,성북구,455
885,2019-12,동대문구,408
886,2019-12,용산구,422
887,2019-12,중랑구,296
888,2019-12,강북구,221
889,2019-12,동작구,439
890,2019-12,은평구,368
891,2019-12,강서구,842
892,2019-12,강동구,471
893,2019-12,도봉구,249
894,2019-12,금천구,339
895,2019-12,양천구,392
896,2019-12,관악구,527
897,2019-12,노원구,475
898,2019-12,성동구,383
899,2019-12,광진구,443
900,2020-1,구로구,454
901,2020-1,서초구,1006
902,2020-1,영등포구,874
903,2020-1,서대문구,546
904,2020-1,강남구,1842
905,2020-1,중구,1149
906,2020-1,송파구,567
907,2020-1,종로구,882
908,2020-1,마포구,779
909,2020-1,성북구,481
910,2020-1,동대문구,422
911,2020-1,용산구,440
912,2020-1,중랑구,329
913,2020-1,강북구,240
914,2020-1,동작구,461
915,2020-1,은평구,385
916,2020-1,강서구,900
917,2020-1,강동구,519
918,2020-1,도봉구,271
919,2020-1,금천구,368
920,2020-1,양천구,421
921,2020-1,관악구,562
922,2020-1,노원구,489
923,2020-1,성동구,421
924,2020-1,광진구,500
